row,active_ingredient,common_us_brands,category_primary_use,typical_otc_form_strength,audit_status,notes
1,Acetaminophen,Tylenol,Pain / fever,"325 mg, 500 mg oral",not individually audited in retained excerpt set,
2,Ibuprofen,"Advil, Motrin IB",NSAID; pain / fever,200 mg oral,not individually audited in retained excerpt set,
3,Naproxen sodium,Aleve,NSAID; pain / inflammation,220 mg oral,not individually audited in retained excerpt set,
4,Aspirin,"Bayer, Ecotrin",Pain / fever / antiplatelet,"81 mg, 325 mg oral",not individually audited in retained excerpt set,
5,Diclofenac sodium,Voltaren Arthritis Pain,NSAID; arthritis pain,1% topical gel,not individually audited in retained excerpt set,
6,Lidocaine,"Aspercreme, Salonpas",Topical anesthetic / pain,Up to 4% topical,not individually audited in retained excerpt set,
7,Cetirizine,Zyrtec,Antihistamine / allergy,10 mg oral,not individually audited in retained excerpt set,
8,Loratadine,Claritin,Antihistamine / allergy,10 mg oral,not individually audited in retained excerpt set,
9,Fexofenadine,Allegra,Antihistamine / allergy,"60 mg, 180 mg oral",not individually audited in retained excerpt set,
10,Levocetirizine,Xyzal,Antihistamine / allergy,5 mg oral,not individually audited in retained excerpt set,
11,Diphenhydramine,Benadryl,Antihistamine / allergy,25 mg oral,not individually audited in retained excerpt set,
12,Chlorpheniramine,Chlor-Trimeton,Antihistamine / allergy,4 mg oral,not individually audited in retained excerpt set,
13,Doxylamine succinate,Unisom SleepTabs,Sedating antihistamine / sleep,25 mg oral,not individually audited in retained excerpt set,
14,Meclizine,"Bonine, Dramamine Less Drowsy",Motion sickness,25 mg oral,not individually audited in retained excerpt set,
15,Dimenhydrinate,Dramamine,Motion sickness,50 mg oral,not individually audited in retained excerpt set,
16,Fluticasone propionate,Flonase Allergy Relief,Nasal corticosteroid / allergies,50 mcg/spray,not individually audited in retained excerpt set,
17,Fluticasone furoate,Flonase Sensimist,Nasal corticosteroid / allergies,27.5 mcg/spray,not individually audited in retained excerpt set,
18,Triamcinolone acetonide,Nasacort Allergy 24HR,Nasal corticosteroid,55 mcg/spray,not individually audited in retained excerpt set,
19,Budesonide,Rhinocort Allergy,Nasal corticosteroid,32 mcg/spray,not individually audited in retained excerpt set,
20,Mometasone furoate,Nasonex 24HR Allergy,Nasal corticosteroid,50 mcg/spray,not individually audited in retained excerpt set,
21,Azelastine hydrochloride,Astepro Allergy,Nasal antihistamine,0.15% nasal spray,not individually audited in retained excerpt set,
22,Cromolyn sodium,NasalCrom,Mast-cell stabilizer / allergy,Nasal spray,formulation-dependent positive,DailyMed nasal spray labels surface benzalkonium chloride and edetate disodium
23,Oxymetazoline,Afrin,Nasal decongestant,0.05% nasal spray,not individually audited in retained excerpt set,
24,Pseudoephedrine,Sudafed,Oral decongestant,"30 mg, 120 mg, 240 mg",not individually audited in retained excerpt set,
25,Dextromethorphan,"Delsym, Robitussin DM products",Cough suppressant,Oral liquid/tablets,not individually audited in retained excerpt set,
26,Guaifenesin,"Mucinex, Robitussin",Expectorant,200–1200 mg oral,not individually audited in retained excerpt set,
27,Omeprazole,Prilosec OTC,Proton-pump inhibitor / reflux,20 mg delayed release,strong direct positive,Repeated labels converged on polymer/coating systems (hypromellose/HPMC-based enteric coating; glyceryl monostearate; triethyl citrate; polysorbate 80)
28,Esomeprazole magnesium,Nexium 24HR,Proton-pump inhibitor / reflux,20 mg delayed release,strong direct positive,Repeated labels converged on polymer/coating systems consistent with omeprazole family
29,Lansoprazole,Prevacid 24HR,Proton-pump inhibitor / reflux,15 mg delayed release,strong direct positive,Repeated labels converged on polymer/coating systems consistent with omeprazole family
30,Famotidine,Pepcid AC,H2 blocker / heartburn,"10 mg, 20 mg oral",not individually audited in retained excerpt set,
31,Calcium carbonate,Tums,Antacid,500–1000 mg chewable,formulation-dependent positive,Positive on some surfaced labels; avoid universalizing across all chewables
32,Bismuth subsalicylate,Pepto-Bismol,Diarrhea / upset stomach,262 mg tablets/liquid,formulation-dependent positive,Positive on some surfaced labels; preserve formulation variation
33,Loperamide,Imodium A-D,Antidiarrheal,2 mg oral,formulation-dependent positive,"Combination and some product forms positive; simpler loperamide-only counterexamples preserved"
34,Simethicone,"Gas-X, Mylicon",Antiflatulent,Various oral strengths,formulation-dependent positive,Standalone infant gas drops surfaced polysorbate 60
35,Polyethylene glycol 3350,MiraLAX,Osmotic laxative,17 g powder,strong direct positive,Active substance itself is polyethylene glycol 3350 — petroleum-derived polymer by definition
36,Bisacodyl,Dulcolax,Stimulant laxative,"5 mg tablets, suppository",formulation-dependent positive,Delayed-release tablets positive; suppositories simpler and materially different
37,Sennosides / senna,"Senokot, Ex-Lax",Stimulant laxative,Oral tablets,formulation-dependent positive,Positive on some surfaced products; formulation caveat required
38,Magnesium hydroxide,Milk of Magnesia,Saline laxative / antacid,Oral suspension,formulation-dependent positive,"Some surfaced suspensions listed propylene glycol/HPMC/parabens; a cleaner counterexample also surfaced"
